"id","tweet","label"
"1","IPL 2025 has been absolutely electrifying so far! Best season in years","positive"
"2","Rohit Sharma's innings today was pure class. MI fans are loving it!","positive"
"3","What a stunning six by Suryakumar Yadav! The crowd is going wild!","positive"
"4","IPL 2025 is breaking all viewership records. Cricket has never been more exciting!","positive"
"5","CSK never disappoints. Dhoni's finishes are still legendary!","positive"
"6","The opening ceremony of IPL 2025 was absolutely spectacular!","positive"
"7","KKR defending their title brilliantly. What a team!","positive"
"8","Jasprit Bumrah is literally unplayable right now. Absolute genius with the ball","positive"
"9","IPL 2025 producing some of the best cricket I have ever seen. Love this tournament!","positive"
"10","RCB finally looking like a strong side this season. Virat leading from the front","positive"
"11","That last-ball finish was breathtaking! IPL never fails to deliver drama","positive"
"12","The stadiums are packed and the atmosphere is electric! IPL 2025 is a festival!","positive"
"13","Gujarat Titans playing sensational cricket. Their fielding is top notch!","positive"
"14","What an incredible catch by Hardik Pandya! One of the best this season!","positive"
"15","Shubman Gill's batting is a joy to watch. Future of Indian cricket!","positive"
"16","IPL 2025 has produced the best bowling spells I have seen in T20 cricket","positive"
"17","Sanju Samson is in red hot form for Rajasthan Royals. What a player!","positive"
"18","The fan engagement in IPL 2025 is incredible. This is why we love cricket!","positive"
"19","Brilliant captaincy by Shreyas Iyer! KKR's strategy is flawless this season","positive"
"20","IPL 2025 has record-breaking partnerships and stunning catches. What a season!","positive"
"21","Loved the new rule changes in IPL 2025. Makes the game even more exciting!","positive"
"22","Rahul Tewatia doing it again! Another last-over heroics from this man!","positive"
"23","IPL 2025 is the best sporting event in the world right now. Unpredictable and thrilling!","positive"
"24","Delhi Capitals showing great improvement this season. Proud of the team!","positive"
"25","The commentary team for IPL 2025 is outstanding. Really adds to the experience!","positive"
"26","Travis Head's aggressive batting is tailor-made for T20 cricket. Loving it!","positive"
"27","Kuldeep Yadav's wrist spin is proving too much for every batsman this season!","positive"
"28","Brilliant scenes at the Wankhede stadium. IPL atmosphere is unmatched worldwide!","positive"
"29","IPL 2025 fantasy cricket is so addictive! My team is performing amazingly!","positive"
"30","RR vs CSK last night was the match of the season. Absolute masterclass!","positive"
"31","IPL 2025 is going on as scheduled. The tournament is in its third week now.","neutral"
"32","Match between SRH and PBKS was rescheduled due to rain. New date announced by BCCI.","neutral"
"33","IPL 2025 points table updated after yesterday matches. Four teams in contention.","neutral"
"34","BCCI announced the playoff schedule for IPL 2025 today.","neutral"
"35","IPL 2025 squad list for all 10 teams is available on the official website.","neutral"
"36","Today match between MI and RCB starts at 7:30 PM IST.","neutral"
"37","IPL 2025 ticket prices range from Rs 500 to Rs 50000 depending on the venue.","neutral"
"38","The toss was won by CSK. They have elected to bat first.","neutral"
"39","IPL 2025 will be broadcast on Star Sports and streamed on JioCinema.","neutral"
"40","Virat Kohli scored 45 runs off 32 balls in today match against MI.","neutral"
"41","IPL 2025 has 74 matches scheduled across 13 venues in India.","neutral"
"42","BCCI confirmed that all 10 franchises have retained their core squads for IPL 2025.","neutral"
"43","The IPL 2025 auction was held in November 2024. Several new players were picked up.","neutral"
"44","MI vs KKR match was a close contest. MI won by 6 runs in the end.","neutral"
"45","IPL 2025 uses DRS technology for all matches in the tournament this year.","neutral"
"46","Rohit Sharma is currently the leading run scorer in IPL 2025.","neutral"
"47","The halfway point of IPL 2025 has been reached. All teams have played 7 matches each.","neutral"
